	
Brevs. 3	1826 - 1863"Breve vedk. Familien Wergeland fra og til Eidsvold i 1830-Aarene m.m." Tidligere innbundet. Brevene er ordnet med henvisning til sidetall. Se Leiv Amundsens artikkel i Edda 1922 (b. 18) om Brevs. 3 med utdrag av de brev som omhandler Henrik Wergeland. - Brevene frem til bryllupdagen 14. juli 1841 er trykt i C. Collett og P.J. Collett: Dagbøker og breve utg. ved Leiv Amundsen, b. 2-4, 1930-33. Brevene etter bryllupsdagen er utgitt elektronisk i NB kilder 2/2018. Datering følger utgivelsene. Håndskreven datering på brevene er dels samtidig med brevet, dels påført i senere tid sannsynligvis av Camilla Collett selv (jf. Ellisiv Steen 1954, s. 354) eller av hennes sønn Alf Collett. I de tilfeller hvor det er uoverensstemmelser mellom brevets datering og registerert datering er det lagt inn en note om at dateringen følger en av utgivelsene.
	
T	Tilleggsmappe. Dokumenter som senere er lagt til Brevs. 3 er lagt i en tilleggsmappe katalogisert T.
skjul	
T:1	Collett, Camilla til Marie Emilie Heltberg 1830.01 Brevet er til søstrene Marie og Hanna Herre. Utgitt elektronisk i NB kilder 2/2018. NBdigital: URN:NBN:no-nb_digimanus_264535.
T:2	Wergeland, Harald Titus Alexis til Alf Collett 1878 - 1884 8 brev.
T:3	Alf Collett: Notater til egne erindringer, samt avskrifter av deler av Camilla Colletts brev til Emilie Diriks. 1 hefte.
	
1	Wergeland, Harald Titus Alexis til Nicolai Wergeland 1826.01.17
2	Wergeland, Nicolai til Camilla Collett 1827.11.23
3	Wergeland, Nicolai til Camilla Collett 1828.01.08
4	Collett, Camilla til Oscar Wergeland 1833.11.03
5	Collett, Camilla til Oscar Wergeland 1833.12
6	Collett, Camilla til Oscar Wergeland 1833.12  Før jul.
7	Collett, Camilla til Oscar Wergeland 1834.01.06
8	Collett, Camilla til Oscar Wergeland 1834.02.17
9	Collett, Camilla til Oscar Wergeland 1834.04
10	Collett, Camilla til Oscar Wergeland 1835.02.11
11	Wergeland, Harald Titus Alexis til Nicolai Wergeland 1834.12.19
12	Wergeland, Harald Titus Alexis til Nicolai Wergeland 1834.12.01
13	Collett, Camilla til Emilie Diriks 1835.03
14	Collett, Camilla til Emilie Diriks 1835.05.05
15	Collett, Camilla til Emilie Diriks 1835.04.05  Fragment.
16	Collett, Camilla til Emilie Diriks 1835.05.22
17	Collett, Camilla til Emilie Diriks 1835.05.24
18	Collett, Camilla til Emilie Diriks 1835.05.24
19	Collett, Camilla til Emilie Diriks 1835.07.16
20	Collett, Camilla til Emilie Diriks 1835.07.19
21	Collett, Camilla til Emilie Diriks 1835.07.24
22	Collett, Camilla til Emilie Diriks 1835.07.24  Fragment. Trolig slutten av brevet Brevs. 3:21 (24. juli 1835).
23	Collett, Camilla til Emilie Diriks 1835
24	Collett, Camilla til Emilie Diriks 1835
25	Collett, Camilla til Emilie Diriks 1835.10.03
26	Collett, Camilla til Emilie Diriks 1835.10.13
27	Collett, Camilla til Emilie Diriks 1835.10.19
28	Collett, Camilla til Emilie Diriks 1835.11.01  Datering følger Amundsens utgave.
29	Collett, Camilla til Emilie Diriks 1835.10 - 1835.11
30	Collett, Camilla til Emilie Diriks 1835.11.04
31	Collett, Camilla til Emilie Diriks 1835.11.12
32	Collett, Camilla til Emilie Diriks 1835.10.23
33	Collett, Camilla til Oscar Wergeland 1835.11.17
34	Collett, Camilla til Emilie Diriks 1835.11.20
35	Collett, Camilla til Emilie Diriks 1835.11.22
36	Collett, Camilla til Emilie Diriks 1835.11.25
37	Collett, Camilla til Emilie Diriks 1835.12.20
38	Collett, Camilla til Oscar Wergeland 1836.01.07
39	Collett, Camilla til Bernhard Mogens Herre 1836.04.10
40	Collett, Camilla til Emilie Diriks 1836.01.17
41	Collett, Camilla til Emilie Diriks 1836.03.04  NBdigital: URN:NBN:no-nb_digimanus_154673.
42	Collett, Camilla til Nicolai Wergeland 1836.02.23
43	Collett, Camilla til Emilie Diriks 1836.03.10
44	Collett, Camilla til Emilie Diriks 1836.03.15
45	Collett, Camilla til Oscar Wergeland 1836.03.18
46	Collett, Camilla til Emilie Diriks 1836.04.18
47	Collett, Camilla til Oscar Wergeland 1836.04.17
48	Collett, Camilla til Petra Boyesen 1836.08  Fragment.
49	Collett, Camilla til Emilie Diriks 1836.04.28
50	Collett, Camilla til Emilie Diriks 1836.05.22
51	Collett, Camilla til Emilie Diriks 1836.05.28
52	Collett, Camilla til Emilie Diriks 1836.06.11
53	Collett, Camilla til Oscar Wergeland 1836.06.26
