Number,Source,Target,Date,URN
T:1,Camilla Collett,"Heltberg, Marie Emilie",1830.01,URN:NBN:no-nb_digimanus_264535.
T:2,Harald Titus Alexis Wergeland,Alf Collett,1878-1884,
1,Harald Titus Alexis Wergeland,Nicolai Wergeland,1826.01.17,
2,Nicolai Wergeland,Camilla Collett,1827.11.23,
3,Nicolai Wergeland,Camilla Collett,1828.01.08,
4,Camilla Collett,Oscar Wergeland,1833.11.03,
5,Camilla Collett,Oscar Wergeland,1833.12,
6,Camilla Collett,Oscar Wergeland,1833.12,
7,Camilla Collett,Oscar Wergeland,1834.01.06,
8,Camilla Collett,Oscar Wergeland,1834.02.17,
9,Camilla Collett,Oscar Wergeland,1834.04,
10,Camilla Collett,Oscar Wergeland,1835.02.11,
11,Harald Titus Alexis Wergeland,Nicolai Wergeland,1834.12.19,
12,Harald Titus Alexis Wergeland,Nicolai Wergeland,1834.12.01,
13,Camilla Collett,"Diriks, Emilie",1835.03,
14,Camilla Collett,"Diriks, Emilie",1835.05.05,
15,Camilla Collett,"Diriks, Emilie",1835.04.05,
16,Camilla Collett,"Diriks, Emilie",1835.05.22,
17,Camilla Collett,"Diriks, Emilie",1835.05.24,
18,Camilla Collett,"Diriks, Emilie",1835.05.24,
19,Camilla Collett,"Diriks, Emilie",1835.07.16,
20,Camilla Collett,"Diriks, Emilie",1835.07.19,
21,Camilla Collett,"Diriks, Emilie",1835.07.24,
22,Camilla Collett,"Diriks, Emilie",1835.07.24,
23,Camilla Collett,"Diriks, Emilie",1835,
24,Camilla Collett,"Diriks, Emilie",1835,
25,Camilla Collett,"Diriks, Emilie",1835.10.03,
26,Camilla Collett,"Diriks, Emilie",1835.10.13,
27,Camilla Collett,"Diriks, Emilie",1835.10.19,
28,Camilla Collett,"Diriks, Emilie",1835.11.01,
29,Camilla Collett,"Diriks, Emilie",1835.1-1835.11,
30,Camilla Collett,"Diriks, Emilie",1835.11.04,
31,Camilla Collett,"Diriks, Emilie",1835.11.12,
32,Camilla Collett,"Diriks, Emilie",1835.10.23,
33,Camilla Collett,Oscar Wergeland,1835.11.17,
34,Camilla Collett,"Diriks, Emilie",1835.11.20,
35,Camilla Collett,"Diriks, Emilie",1835.11.22,
36,Camilla Collett,"Diriks, Emilie",1835.11.25,
37,Camilla Collett,"Diriks, Emilie",1835.12.20,
38,Camilla Collett,Oscar Wergeland,1836.01.07,
39,Camilla Collett,Bernhard Herre,1836.04.10,
40,Camilla Collett,"Diriks, Emilie",1836.01.17,
41,Camilla Collett,"Diriks, Emilie",1836.03.04,URN:NBN:no-nb_digimanus_154673.
42,Camilla Collett,Nicolai Wergeland,1836.02.23,
43,Camilla Collett,"Diriks, Emilie",1836.03.10,
44,Camilla Collett,"Diriks, Emilie",1836.03.15,
45,Camilla Collett,Oscar Wergeland,1836.03.18,
46,Camilla Collett,"Diriks, Emilie",1836.04.18,
47,Camilla Collett,Oscar Wergeland,1836.04.17,
48,Camilla Collett,"Boyesen, Petra",1836.08,
49,Camilla Collett,"Diriks, Emilie",1836.04.28,
50,Camilla Collett,"Diriks, Emilie",1836.05.22,
51,Camilla Collett,"Diriks, Emilie",1836.05.28,
52,Camilla Collett,"Diriks, Emilie",1836.06.11,
53,Camilla Collett,Oscar Wergeland,1836.06.26,
54,Camilla Collett,Marie Colban,1839.07.28,
55,Camilla Collett,"Diriks, Emilie",1838.05,
56,Camilla Collett,"Diriks, Emilie",1836.08.06,
57,Camilla Collett,"Diriks, Emilie",1836.08.09,
58,Camilla Collett,Oscar Wergeland,1836.08.16,
59,Nicolai Wergeland,Camilla Collett,1836.08.27,
60,Camilla Collett,"Diriks, Emilie",1836.09.07,
61,Camilla Collett,Oscar Wergeland,1836.10.22,
62,Camilla Collett,"Diriks, Emilie",1837.05,
63,Camilla Collett,"Diriks, Emilie",1836.11.10,
64,Camilla Collett,"Diriks, Emilie",1836.12.19,
65,Camilla Collett,"Diriks, Emilie",1837.04.23,
65:a,Camilla Collett,"Diriks, Emilie",1837.04.23,
66,Camilla Collett,Nicolai Wergeland,1836.11.18,
67,Camilla Collett,Oscar Wergeland,1837.01.03-1837.01.22,
67:a,Camilla Collett,Oscar Wergeland,1837.01.03,
68,Camilla Collett,"Diriks, Emilie",1836.12.19,
69,"Uken, Hedwig ",Camilla Collett,1837.01.22,
70,Camilla Collett,Nicolai Wergeland,1837.05.06,
71,Camilla Collett,Nicolai Wergeland,1837.05.06,
72,Camilla Collett,"Diriks, Emilie",1837.05,
73,Camilla Collett,"Diriks, Emilie",1837.05.14,
74,Camilla Collett,Oscar Wergeland,1837.08.31-1837.09.04,URN:NBN:no-nb_digimanus_157647.
75,Camilla Collett,"Diriks, Emilie",1837.09.29,URN:NBN:no-nb_digimanus_154696.
76,Camilla Collett,"Diriks, Emilie",1837.10.14,URN:NBN:no-nb_digimanus_154697.
77,Camilla Collett,"Diriks, Emilie",1837.10.30,
78,Camilla Collett,"Diriks, Emilie",1837.12.27-1837.12.28,
79,Camilla Collett,"Diriks, Emilie",1838.01.02,
80,Camilla Collett,"Diriks, Emilie",1838.05,
81,Camilla Collett,Niels Wisløff Rogstad,1839.04,
82,Camilla Collett,"Diriks, Emilie",1838.01.12,
83,Camilla Collett,"Diriks, Emilie",1838.04,
84,Camilla Collett,"Diriks, Emilie",1838.02.11,
85,Camilla Collett,"Diriks, Emilie",1838.01.08,
86,Camilla Collett,"Diriks, Emilie",1838.01.02,
87,Camilla Collett,"Diriks, Emilie",1838.02,
88,Camilla Collett,"Diriks, Emilie",1838.02,
89,Camilla Collett,Oscar Wergeland,1838.04.08,
90,Camilla Collett,"Diriks, Emilie",1838,
90,"Rye, Elise Schultz ",Camilla Collett,1829.05,
90,"Thygesen, A. ",Camilla Collett,1829.04.26,
91,Camilla Collett,"Diriks, Emilie",1838.05.04,
