Hanske : Katalog over privatarkiv og musikkmanuskripter	
Søk på navn Søk på katalogsignatur Søk på emne Hvem skrev til hvem Startside/søkeveiledning	
Søk på katalogsignatur	
Brevs. 1	Voksende samling. Brev av forskjellig proveniens, anlagt 1921.
	til Berge 1908 Henviser til brev av 25/5-08.
	til Hagbard Emanuel Berner 1880.05.15 Adresse fra venner af det rene flag.
	til Carl Lewenhaupt 1886 Adresse fra franske geometrikere.
	til Marie Plahte 1922.06.19 Fra "cousine Gine". Tegning vedligger. Brev og tegning var montert på albumblad sammen med tre brev fra Christian Skredsvig til Marie (Mimi) Plahte, se Brevs. 557.
	Aall, Hans Jacob til Sverre Ihle 1905.11.03
	Aall, Herman Harris til Rolf Jørgen Fuglesang 1938.12.13
	Aall, Herman Harris til Rolf Jørgen Fuglesang 1938.12.31 Vedlegg: Kladd til politanmeldelse av Joh. H. Andresen innlevert av Rolf J. Fuglesang. Udatert, 1938.
	Aall, Nicolai Benjamin til Edvard Storm Munch 1808 Med et dikt i anl. Edv. Munchs forlovelse
	Aall, Nils til Hans Christian Hoff Udatert
	Aall, Nils til Hans Christian Hoff Udatert
	Aall, Nils til Hans Christian Hoff 1863.03.11
	Aanrud, Hans til Kirsten Eger 1922.12.23 Til Kirsten og Anna Marie (Søster) Eger. Sammen med brevet ligger et brev ang. Aanrud til de samme fra David Knudsen.
	Aaraas, Hans til Sigurd Nielsen 1951.05.09
	Aars, Jonathan til Elias Bredsdorff 1876.12.08
	Aas, John til Niels Aalholm Udatert
	Aas, John til Niels Aalholm 1834.01.23
	Aas, John til Andreas Faye 1836.01.23
	Aas, N. til Toldkammeret i Kragerö 1809.07.21
	Abildgaard, Th. til Krydserens redaksjon 1854.10.20
	Abildgaard, Th. til Lagthingets Presidentskab 1851.05.26
	Abrahamsson, Ola til Halvdan Hydle 1953.11.15 Vedlegg: Fotokopi av rispapir med egenhendig påskrift.
	Adam, Juliette til Albin ? Haller 1887.05.18
	Adelmann til Sverre Ihle 1901.06.25
	Adelmann til Sverre Ihle 1905.07.25
	Adelmann til Sverre Ihle 1905.10.15
	Adler, Johan Gunder til L. Gjerlew 1817.03.02
	Alma-Taderra, Lawrence til NN 1893.01.10
	Ambjørnsen, Ingvar til Odd Noreger 1998.11.02
	Amdam, Per til Einar Haugen Udatert På første side av "Bjørnson og Romsdal. Sitat og bilete". Romsdal Ungdomslag, 1955.
	Amis, Kingsley til Norsk Bibliotekforening 1958.03.11 Til Norsk Bibliotekforening ved Myckland.
	Amundsen, Gustav S. til J.B. Pinker & Sons 1928.08.23 For Roald Amundsen.
	Amundsen, Leiv til Roar Tank 1919.01.23 Antatt mottaker.
	Amundsen, Roald til Ole Andreas Foss 1908.05.18 Nettutskrift fra Blomqvist nettauksjon des. 2016.
	Anandagopal til Didrich Hegermann Lund 1956
	Anandagopal til Didrich Hegermann Lund 1956.04.12
	Ancher, Jan til Thomas Fearnley Udatert Uleselig datering. Fotokopi.
	Anchersen, Hans Peder til Else Magdalene Bartholin 1757.03.29
	Andersen, Anton til Jens Braage Halvorsen 1880.04.20
	Andersen, Arlow W. til Drammens Tidende 1973.07.04 Ligger ad brev fra Pauline Ihlen til Axel P. Trockstad 7. juli 1901.
	Andersen, Hans Christian til Christian Brandt 1849.11.13 Fotokopi.
	Andersen, Hans Christian til Henriette Collin 1871.05.09
	Andersen, Hans Christian til Anna Johanne Lönborg 1860.10.10 Fotokopi.
	Andersen, Hans Christian til Wilhelm Moldenhawer 1851.11.08
	Andersen, Hendrik Christian til Bredo von Munthe af Morgenstierne 1920.01
	Andersen, M.Kr. til Anton Nicolay Lorentzen Udatert
	Andersen, M.Kr. til Anton Nicolay Lorentzen 1881.01.30
	Andersen, M.Kr. til Anton Nicolay Lorentzen 1883.05.13
	Andersen, M.Kr. til Wilhelm Moldenhawer Udatert
	Anderssen, Otto Andreas til Den norske Studentersangforening 1899.04.19
	Andersson, Thor til Nicolai Rygg 1910.12.23
	Andresen, J.P. til Georg Krohn 1869.12 Vedligger Krohns svar av 18.12.1869. Fotokopier.
	Anker, Bernt til Hans Jacob Henning Hesselberg 1797.04.09
	Anker, Bernt til Nicolai Diderich Osterhaus 1898.09.01
	Anker, Carsten Tank til Den norske regjering 1814.11.19
	Anker, Carsten Tank til Finansdepartementet 1814.11.19
	Anker, Ella til Knut Hamsun Udatert Maskinskrevet avskrift.
	Anker, Mix til Johanne Müller 0000.01.18
	Anker, Nini Roll til Thorolf Holmboe 1902.10.11
	Anzilotti, D. til Lars Jorstad 1940.04.24 Avskrift.
	Archer, William til Peter Egge 1911.08.14 Fotokopi. Tatt ut av Brevs. 17. Jfr. William Archer til H.L. Brækstad 14. nov. 1913.
	Archer, William til Karl Fischer 1905.05.28
	Arctander, Adolf Mauritz Steenbuck til Ole Lindeman 1913.11.24
	Arctander, Sofus Anton Birger til Bjørn Kristensen 1906.08.12
	Arctander, Sofus Anton Birger til Aimar August Sørenssen 1886.11.09
	Arentz, Valentin til Anna Willumsen 1880.02.07 Om et ball i Stavanger s.å. med 214 gjester og Oftedals protest mot det. Jfr. Alexander Lange Kiellands fortelling Sankt Hans fest. NBdigital: URN:NBN:no-nb_digimanus_78391.
	Arentzen, Kristian til ukjent 1856.12.05 Erik Lie er en mulig mottaker.
	Arnesen, Daniel til Haugianere 1831.12.04 Fotokopi. Originalbrev tilhører Norsk folkemuseum. Avskrift vedligger.
	Arnesen-Kall, Benedicte til Marie Wexelsen 1872.08 Skrevet på forsatsbl. i B. Arnesen-Kalls bok I Sorg og i Glæde, utgitt i Kbh. 1870.
	Arnold, Carl til Johan Diederich Behrens 1852.10.03 Før Ms. 4° 996.
	Arup, Jens Lauritz til Daniel Bremer Juell 1853.01.24
	Arvesen, Ole til Bjørnstjerne Bjørnson 1888.07.08
	Arvesen, Ole til Finants-, Handles- og Tolddepartementet 1896.08.10
	Arvesen, Ole til Ole H. Haugholt 1916.12.30
	Arvesen, Ole til Kare Keilhau 1889.08.29
	Aschehoug, Torkel Halvorsen til Petter Thorvald Aarum 1898.12.31
	Aschehoug, Torkel Halvorsen til Eugen von Böhm-Bawerk 1909 Uavsendt.
	Aschehoug, Torkel Halvorsen til Olaj Olsen 1886.09.02
	Aschehoug, Torkel Halvorsen til Christian August Orland 1908.04.21
	Aschehoug, Torkel Halvorsen til Hjalmar Schjelderup 1888.01.04
	Aschehoug, Torkel Halvorsen til Hans Holmboe Vogt 1887.11.15
	Aschehoug, Torkel Halvorsen til Hans Holmboe Vogt 1898.12.31 Til Vogt?
	Askevold, Anders Monsen til Comiteen i Christiania for Londons industriudstilling 1861.09.01
	Askevold, Anders Monsen til Bernhard Fredrik de Lange Geelmuyden 1872.11.08
	Aspestrand, Sigwardt til konge av Norge Haakon 7 1921.12.01 KLAUSUL.
	Eggen, Olav til Åsmund Johansen Udatert
	Eggen, Olav til Åsmund Johansen 1922.09.15
	Eggen, Olav til Åsmund Johansen 1922.09.19
	Eggen, Olav til Åsmund Johansen 1923.03.10
	Aubert, Elise Sofie til Christian August Ovland 1906.10.28
	Aubert, Ludvig Mariboe Benjamin til ukjent 1877.08.29
	Aubert, Ludvig Mariboe Benjamin til ukjent 1886.06.08
	Aubert, Ludvig Mariboe Benjamin til Jacob Neumann Mohn 1860.02.12
	Aubert, Ludvig Mariboe Benjamin til Jacob Neumann Mohn 1860.03.23
	Aubert, Ludvig Mariboe Benjamin til Jacob Neumann Mohn 1860.04.10
	Aubert, Ludvig Mariboe Benjamin til Jacob Neumann Mohn 1860.04.22
	Aubert, Ludvig Mariboe Benjamin til Jacob Neumann Mohn 1860.04.26
	Aubert, Ludvig Mariboe Benjamin til Jacob Neumann Mohn 1860.08.26
	Aubert, Ludvig Mariboe Benjamin til Hjalmar Schjelderup 1895.09.29
	Augustinussen, Johan til Jon Klæbo 1868
	Baade, Knud til M. Hals 1867.04.14
	Baade, Knud til Hans Leganger Reusch 1852.05.07
	Baade, Knud til Hans Leganger Reusch 1853.08.03
	Bach, Jens Jakob Olsen til Otto Winter-Hjelm 1890.06.21
	Bachke, Ole Andreas til Aimar August Sørensen 1884.12.23
	Backer, Erika til Marius Hægstad Udatert Brevkort.
	Backer-Grøndahl, Fridtjof til Randi Helseth 1952.04.06
	Balchen, Bernt til Emmy Balchen 1935.03.19
	Balke, Peder til Arnemand i Altona 1836.09.15 Fotokopi.
	Bang, Cathrinus til L. Helweg 1847.03.16
	Bang, Herman til Dagbladet Udatert
	Bang, Herman til Erika Lie Nissen Udatert Sandviken onsdag.
	Bang, Herman til Poul 1895.06.28 Etternavn ukjent.
	Bapst, Germain til Carl Richard Unger Udatert
	Barral, Jean Augustin til Verdensutstillingen 1867, Norges kommissær 1867.07.22
	Barrès, Maurice til Alexandre Lugné Poë 1890.01.22
	Barth, Frøydis til Buskerud Papirfabrikk A/S 1975.09.29 Lå inni boken Långdag på skolen av Ingeborg Refling Hagen (dokid. 08tm24320).
	Bartnes Forlag A/S til Universitetsbiblioteket i Oslo. Norske avdeling 1937.01.06 Liste over utkomne noter vedlagt.
	Bassøe, Marie til Julie Glud 1909.12.11
	Battle Creek Sanitarium til Holger Drachmann 1900.05.19 Hilsen undertegnet av en rekke av sanatoriets gjester.
	Bauër, Henri til Alexandre Lugné-Poë 1893.11.09
	Beauvois, E. til Michael Birkeland 1870.05.06
	Beckett, Francis til Bernt Grønvold 1918.04.18
	Beethoven, Ludwig van til ukjent 0000.07.06 - 0000.07.07 Ukjent mottaker. Fotografi av original i Preussische Staatsbibliothek.
	Beichmann, Frederik Valdemar Nikolai til Theodor Christian Stoud Platou 1892.04.25
	Belle, H.S. til Siver Belle 1889.11.18
	Belle, H.S. til Siver Belle 1890.08.14 Vedlegg.
	Belle, H.S. til Siver Belle 1894.02.26
	Bennetter, Andreas til Johan Jacob Bennetter 1864.02.13
	Bennetter, Johan Jacob til Herman Anker 1883.10.15
	Bennetter, Johan Jacob til Wilhelmina Bennetter 1876.08.03
	Bentsen, Tyra til Hans Jacob Ustvedt 1939.03.03
	Benzon, Otto til Nationaltheatret 1900.01.20
	Berdjaev, Nikolaj Aleksandrovic til Boris Kleiber 1947.11.21
	Berg, Alfred til Olaus Andreas Grøndahl 1899.03.18
	Berg, Hans Johan Fredrik til Directionen for Verdensudstillingen for Christiania i London 1862 1861.09.18
	Berg, Johan Peter til John Aas 1866.04.30
	Berg, Johan Peter til John Aas 1866.06.23
	Berg, Johan Peter til John Aas 1867.01.06
	Berg, Karl Johan til Hans Holmboe Vogt 1887.11.10
	Berge, Abraham til Asbjørn Syrrist 1911.02.12 NBdigital: URN:NBN:no-nb_digimanus_218195.
	Berggrav, Øivind Seip til Wilhelm Preus Sommerfeldt 1942.12.02
	Bergh, Johannes til Fredrik Petersen 0000.03.31 Årstallet delvis avrevet, 189x?
	Bergslien, Brynjulf til Hamar Kunstforening 1885.09.02
	Bergslien, Brynjulf til Hamar Kunstforening 1885.09.23 Kvittering for honorar for en statuett av professor Welhaven.
	Berner, Hagbard Emanuel til Johan Cornelius Tellefsen 1882.04.13
	Bernth, Johan Ludvig til Howe 1780.11.28
	Bielke, Christine Juliane (Julie) til Severin Løvenskiold 1830 Påskrift på trykt forslag fra Julie Bjelke til Stortinget vedr. Røros kobberverk.
	Bierbaum, Otto Julius til Arne Garborg 1895.02.22
	Bildende Kunstneres Styre til Anders Castus Svarstad 1913.01.03 Anbefaling, undertegnet av Christian Krohg og Ola Geelmuyden.
	Bjerke, Ejlert til Krebsen 1912.09.20 Til "Krebsen"s redaksjon.
	Bjørgo, Trygve til Kjetil Ljøstad 1955.10.02 Om Tor Jonsson.
	Bjørndal, Arne til Hans Jørgen Hurum 1957.08.22
	Bjørnson, Bjørn til Herman Bang 1899.07.16
	Bjørnson, Bjørn til Erwin Kerber 1936.07.27
	Bjørnson, Bjørn til Erwin Kerber 1936.09.03
	Bjørnson, Bjørn til Erwin Kerber 1936.09.15 Et kort fra Eileen Bjørnson til Erwin Kerber med fotografi av Bjørn Bjørnson vedligger brevene.
	Bjørnson, Einar til Dagbladet 1893.04.01 Til Dagbladets redaktør.
	Bjørnson, Erling til Jørgen Thoresen 1898.10.29
	Bjørnson, Inga til Ingrid Nicolaisen 1947.11.13 Fotografi med dedikasjon vedligger.
	Bjørnson, Inga til Ingrid Nicolaisen 1947.12.11
	Bjørnson, Inga til Ingrid Nicolaisen 1948.04.12
	Bjørnson, Peter til Bjørn Kristensen 1906.08.18
	Blytt, Axel Gudbrand til Christian Kaurin 1894.04.21
	Bojer, Johan til Martin Bjørnhoug 1889.12.12
	Bonnevie, Frederic til Emil Nielsen 1926.09.07
	Bonnevie, Frederic til Emil Nielsen 1926.09.19 Med Emil Nielsens kladd til svar nederst.
	Bonnevie, Thomas til Elias Grønning 1946.10.03
	Borgen, Johan til Gidske Anderson Udatert
	Borgen, Johan til Gudleiv Bø 1977.02.09
	Braaten, Oskar til Kaurin 1920.03.12
	Brandes, Georg til Martin Johannes Bugge 1868.03.29 NBdigital: URN:NBN:no-nb_digimanus_122326.
	Brandt, Peter Andreas til Christian Birch-Reichenwald 1847.02.14 Brevet er sendt fra Lagoa Santa pr. Rio de Janeiro.
	Bratt, Iwan til Kaare Halvorsen 1945.01.16 3 konsepter til brev fra Kaare Halvorsen til Iwan Bratt og Haldis Stenhamar vedligger.
	Brinch, Chr. til Frances Cathrine Dahl 1891.12.18 Usikker identifikasjon av avsender og mottaker.
	Bronken, Per til Knut Kristiansen 1959 Poststemplets år.
	Bronken, Per til Knut Kristiansen 1959.10.07 Poststemplets dato.
	Bronken, Per til Knut Kristiansen 1959.10.12 Poststemplets dato, 19[5?]9.
	Bruheim, Jan-Magnus til Kaare Halvorsen Udatert
	Bruheim, Jan-Magnus til Kaare Halvorsen Udatert Konsulentuttalelse vedligger.
	Bruheim, Jan-Magnus til Kaare Halvorsen 1938 Omtrentlig datering, 1938-39?
	Bruheim, Jan-Magnus til Kaare Halvorsen 1941 Omtrentlig datering, sept.-okt.?
	Bruheim, Jan-Magnus til Kaare Halvorsen 1941.09.19
	Bruheim, Jan-Magnus til Kaare Halvorsen 1948.12.17
	Bruheim, Jan-Magnus til Kaare Halvorsen 1957.03.16
	Bruheim, Jan-Magnus til Kaare Halvorsen 1961
	Bruheim, Jan-Magnus til Kaare Halvorsen 1963.05.22
	Bruheim, Jan-Magnus til Kaare Halvorsen 1964.05.31
	Bruheim, Jan-Magnus til Kaare Halvorsen 1965.12.29 Notetrykk av Sparre Olsen til Bruheim-tekst vedligger.
	Brun, Viggo til Kaye Weedon 1967.07.28 Om gjenstander som har tilhørt Niels Henrik Abel.
	Bugge, Peder Olivarius til konge av Norge og Sverige Karl Johan 1819.03.09 Kladd på baksiden av brev fra Karl Johan til Bugge, 08.02.1819.
	Bull, Francis til Paul Gjesdahl 1926.02.15
	Bøgh, Erik til Ernst Bojesen 1888.07.16 Her også brev fra Theodor Kittelsen til Ernst Bojesen.
	Børli, Hans til Leif Jarle Sveen 1949 Skrevet mellom 27. september og 20. november 1949.
	Børli, Hans til Leif Jarle Sveen 1949.09.27
	Børli, Hans til Leif Jarle Sveen 1949.11.20
	Cappelens forlag til Per Sandmæl 1900.05.10 Kontrakt.
	Caspari, Theodor til Morgenbladet 1902.12.20
	Caspari, Theodor til Morgenbladet 1933.03.16 Meny med blyanttegning vedligger.
	Caspari, Theodor til Morgenbladet 1939.08.17
	Caspari, Theodor til Nils Collett Vogt 1901.06.12
	Caspari, Theodor til Nils Collett Vogt 1902.12.09
	Castberg, Frede til Eugen Nielsen 1952.10.02 Gjennomslagskopi av brev fra Nielsen til Castberg 1.10.2015 ligger ad brevet.
	Cepnik, Henri til Videnskabsselskabet i Christiania 1914 Følgebrev til overførsel av plakater fra Ibsenoppsetninger i et område i Polen 1879-1914. Brev fra Videnskabsselskapet i Christiania til Universitetsbiblioteket datert 16. mai 1914 vedligger.
	Christian August, prins av Augustenborg til Hans Christian Sneedorff 1807.10.12
	Christie, Wilhelm Frimann Koren til Carl N. Stoud Platou 1848.11.18 NBdigital: URN:NBN:no-nb_digimanus_248336.
	Christie, Wilhelm Frimann Koren til Jørgen Herman Vogt 1841.03.17 NBdigital: URN:NBN:no-nb_digimanus_248390.
	Clausen, Karl til Gunnar Ihle 1952.12.30
	Colban, Marie til Elise Brodtkorb Udatert
	Colban, Marie til Elise Brodtkorb 0000.01.11
	Colban, Marie til Elise Brodtkorb 0000.03.22
	Colban, Marie til Elise Brodtkorb 0000.10.22
	Colban, Marie til Elise Brodtkorb 0000.12.24
	Colban, Marie til Elise Brodtkorb 0000.12.25
	Colban, Marie til Elise Brodtkorb 0000.12.25
	Colban, Marie til Elise Brodtkorb 1877.12.24 Antatt år.
	Colban, Marie til Elise Brodtkorb 1880 Antatt år.
	Colban, Marie til Elise Brodtkorb 1881.12.24
	Colban, Marie til Elise Brodtkorb 1882 Antatt år.
	Colban, Marie til Elise Brodtkorb 1883 Antatt år.
	Colban, Marie til Elise Brodtkorb 1883.10.22 Antatt år.
	Colban, Marie til Christopher Andreas Myhlenphort 1883.07 Antatt datering. Her vedligger avskrift av et dikt "forefunden efter" Marie Colban: "Jesus mit Liv".
	Collett, Alf til Valdemar Andresen 1905.11.28 Kopibokkopi av brev vedr. begivenhetene i 1905.
	Collett, Alf til Hedevig Wedel-Jarlsberg 1871.07.10 Original i privat eie. Digital versjon tilgjengelig etter søknad til Nasjonalbiblioteket: Digfil: DokID: 298973.
	Collett, Camilla til Herman Heinrich Louis Schwanenflügel 1876.12.15 Antatt årstall. NBdigital: URN:NBN:no-nb_digimanus_3972.
	Collett, Robert til Marie Nielsine Bille 1889.03.02 Fotokopi.
	Collett, Robert til E. Hals 1901.07.25
	Crawfurd, Charles Hippuff til Georgiane 1825.06.07
	Cremona, Luigi til Sophus Lie 1882.02.23
	Daae, Ludvig Ludvigsen til Thorvald Boeck Udatert
	Daae, Ludvig Ludvigsen til Hals 1892.03.22
	Dahl, Hans til ukjent 1886.12.30 "Geehrter Herr!" Konservering utført des. 2010.
	Dahl, Johan Christian til Thomas Fearnley 1832.08.04 Fotokopi.
	Dahl, Johan Christian til Frantz Wilhelm Schiertz 1837.05.14 Skrevet fra Dresden. NBdigital: URN:NBN:no-nb_digimanus_239277.
	Den norske evangelisk-lutherske kirke i Amerika til Kirke- og undervisningsdepartementet 1853.11.22 Fotokopi. Brevet er underskrevet av Adolph C. Preus, Gustav F. Dietrichson, Herman A. Preus m.fl.
	Det musicalske Lyceum til Ditlev Wilhelm Peckel 1827.10.24
	Diriks, Edvard til Willy Ganske 1911.03.28
	Ditten, Thor von til Anders Castus Svarstad 1908.05.21 Sammen med brevet ligger anbefaling for Svarstad fra Kirke- og undervisningsdepartementet mai 1908.
	Duun, Olav til Ole Audun Gjørv 1929.10.04
	Eckersberg, Christoffer Wilhelm til Knud Baade 1828.05.17
	Egner, Thorbjørn til Aase Foss Abrahamsen 1981.11.09
	Egner, Thorbjørn til Edvard Beyer 1972 Takkebrev til Aslaug og Edvard Beyer i forbindelse med Egners 60-årsdag 12.12.1972. Med tegning.
	Eiken, Peter til Hallvard Magerøy 1968.06.18 Vedlegg: Ivar Aasen: Melodi til Dei gamle fjell i syningom, første linje. Avskrift ved P. Eiken.
	Erichsen, Otte til Jørgen Lind 1734.08.28 NBdigital: URN:NBN:no-nb_digimanus_196008.
	Erichsen, Thorvald til Ludvig Find 1897.05.30 Se brev fra Oluf WOld-Torne til L. Find 1. juni 1897.
	Ericson, Astow til Magne Seland 2003.03.22 Med vedlegg, alt om visa "Julekveld i skogen". Fotokopi.
	Essen, Hans Henrik von til konge av Norge og Sverige Karl Johan 1815.01.06
	Essendrop, Carl Peter Parelius til Christopher Hansteen 1879.05.13
	Falck-Muus, Rolf til Georg Braband 1918.05.05
	Falck-Muus, Rolf til Georg Braband 1918.09.14 Vedlegg.
